class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,x33,y33,z33,v33
down,0.33400535583496094,0.5996780395507812,-0.21169313788414001,0.9995378255844116,0.3304237425327301,0.5763638615608215,-0.23762957751750946,0.9995908141136169,0.33185669779777527,0.5738365054130554,-0.23762091994285583,0.9995543360710144,0.3334006667137146,0.5709434151649475,-0.2376670092344284,0.9996653199195862,0.32876351475715637,0.5742530226707458,-0.21071691811084747,0.9994189739227295,0.3289125859737396,0.5705214142799377,-0.21079882979393005,0.9994686245918274,0.32915595173835754,0.5662527680397034,-0.21084025502204895,0.999674916267395,0.34872356057167053,0.5454177260398865,-0.28557032346725464,0.9992583394050598,0.3432839810848236,0.5377572178840637,-0.17005875706672668,0.9996742010116577,0.3475566506385803,0.602103054523468,-0.22223326563835144,0.9994884729385376,0.3454771637916565,0.5998730659484863,-0.18835744261741638,0.9993467330932617,0.44200873374938965,0.539146363735199,-0.27657800912857056,0.9994404911994934,0.3983352780342102,0.4383285641670227,-0.07704465091228485,0.998566210269928,0.530722439289093,0.5077494978904724,-0.2396390736103058,0.9592013359069824,0.4553183913230896,0.35246339440345764,0.1180509701371193,0.1766485720872879,0.5004459619522095,0.6747028827667236,-0.18633198738098145,0.9275537133216858,0.4277417063713074,0.44690972566604614,0.26524072885513306,0.40926986932754517,0.48290568590164185,0.6987015008926392,-0.20463833212852478,0.9071289896965027,0.4039982259273529,0.45400741696357727,0.27440011501312256,0.4848582446575165,0.470775306224823,0.685475766658783,-0.20520131289958954,0.9108650088310242,0.4015556871891022,0.4695395231246948,0.2511555254459381,0.4924280345439911,0.47589555382728577,0.6756753921508789,-0.18470674753189087,0.8880707621574402,0.4198192059993744,0.4713120758533478,0.259311705827713,0.4774540364742279,0.6101934909820557,0.46761301159858704,-0.07446828484535217,0.9977520704269409,0.5905181169509888,0.42225977778434753,0.07449460029602051,0.9899991154670715,0.7298550605773926,0.46798646450042725,0.07866324484348297,0.952240526676178,0.7091907262802124,0.4323357045650482,0.2150973081588745,0.4240645170211792,0.8427212834358215,0.41752761602401733,0.19437652826309204,0.9693739414215088,0.8129485249519348,0.39520516991615295,0.3581406772136688,0.6241463422775269,0.8665782809257507,0.3868752419948578,0.2051054984331131,0.958616316318512,0.8362889289855957,0.36649373173713684,0.3704921305179596,0.6756637692451477,0.8399310111999512,0.5045655369758606,0.1731289178133011,0.943934977054596,0.8160605430603027,0.47217556834220886,0.3705839216709137,0.787178099155426
up,0.31239888072013855,0.304430216550827,-0.21774569153785706,0.9995116591453552,0.307289183139801,0.2774352729320526,-0.2423705756664276,0.999504029750824,0.30882248282432556,0.27494052052497864,-0.24237868189811707,0.9995317459106445,0.3105478882789612,0.27224743366241455,-0.24240529537200928,0.999599277973175,0.30545637011528015,0.27566033601760864,-0.2112325131893158,0.9992579817771912,0.30580466985702515,0.27221381664276123,-0.21129624545574188,0.9993804097175598,0.30634790658950806,0.268363356590271,-0.21131578087806702,0.9996039867401123,0.32761019468307495,0.25168585777282715,-0.28694432973861694,0.9990629553794861,0.3235063850879669,0.24619309604167938,-0.1503787785768509,0.9996137619018555,0.3288171887397766,0.3081952929496765,-0.22703740000724792,0.9994428753852844,0.3271889090538025,0.30692818760871887,-0.18735477328300476,0.9993315935134888,0.4289599061012268,0.2886284291744232,-0.30555251240730286,0.9995264410972595,0.39290401339530945,0.22411304712295532,-0.03491023927927017,0.9988553524017334,0.48647886514663696,0.46327316761016846,-0.31290966272354126,0.9801979660987854,0.41519030928611755,0.35178855061531067,0.11964961141347885,0.2093171775341034,0.4781967103481293,0.6528500318527222,-0.3112240731716156,0.9696842432022095,0.3958373963832855,0.48156166076660156,0.1774796098470688,0.5111784338951111,0.46025267243385315,0.67763352394104,-0.3528538644313812,0.9571493268013,0.36277562379837036,0.4848099946975708,0.17982038855552673,0.5545622706413269,0.44734612107276917,0.6623507738113403,-0.3487761914730072,0.9586824774742126,0.36653241515159607,0.4924994111061096,0.14675197005271912,0.5635238289833069,0.4536556303501129,0.6537278294563293,-0.3111123740673065,0.9429311752319336,0.38025280833244324,0.4942786693572998,0.16537785530090332,0.5566216111183167,0.6056561470031738,0.3277307152748108,-0.08417857438325882,0.9983600974082947,0.5882379412651062,0.29176387190818787,0.08397054672241211,0.9933034777641296,0.7156126499176025,0.3906698524951935,0.0959804356098175,0.9642229080200195,0.6938190460205078,0.37073975801467896,0.2462209165096283,0.47680652141571045,0.8245618939399719,0.3845840394496918,0.2621176540851593,0.9811660647392273,0.7994038462638855,0.3712162971496582,0.4233117699623108,0.6885139346122742,0.8535447120666504,0.3696196675300598,0.27719423174858093,0.9707211852073669,0.8265050649642944,0.3564129173755646,0.44211968779563904,0.7194499969482422,0.8238149881362915,0.47834715247154236,0.2335495948791504,0.9618380665779114,0.8055927157402039,0.45448386669158936,0.4309968054294586,0.8488126993179321
down,0.29328402876853943,0.3996301293373108,-0.21036645770072937,0.9995746612548828,0.28921207785606384,0.376522034406662,-0.2321026623249054,0.999600350856781,0.2906607985496521,0.3742176592350006,-0.2321394979953766,0.9995697140693665,0.29227161407470703,0.3714790642261505,-0.2322215735912323,0.9996600151062012,0.28712067008018494,0.37534019351005554,-0.19951169192790985,0.9994474053382874,0.28726276755332947,0.37239789962768555,-0.19950343668460846,0.999497652053833,0.2874867022037506,0.3689540922641754,-0.19944891333580017,0.999683141708374,0.30803483724594116,0.35254955291748047,-0.27156734466552734,0.9992523789405823,0.3032750189304352,0.34650927782058716,-0.13758054375648499,0.9996716380119324,0.3073839247226715,0.4050510823726654,-0.21589204668998718,0.999476432800293,0.30498453974723816,0.4047618508338928,-0.17461179196834564,0.999352216720581,0.40542834997177124,0.3803250193595886,-0.28260380029678345,0.9994189739227295,0.3674789071083069,0.3241240382194519,-0.007878677919507027,0.9985916614532471,0.5106479525566101,0.44097772240638733,-0.28117066621780396,0.9664505124092102,0.41982755064964294,0.35899174213409424,0.1804584562778473,0.12594066560268402,0.4722067415714264,0.6219611763954163,-0.2749144434928894,0.9464514851570129,0.3903124928474426,0.44921544194221497,0.28919175267219543,0.34949490427970886,0.4527873396873474,0.6458193063735962,-0.3089672029018402,0.9285939335823059,0.3600004315376282,0.4627936780452728,0.30176618695259094,0.42464548349380493,0.441520631313324,0.6336992383003235,-0.29929882287979126,0.93175208568573,0.35967889428138733,0.47102615237236023,0.2775004506111145,0.4299037754535675,0.4479053020477295,0.6241350769996643,-0.2703813910484314,0.9090558886528015,0.3697848916053772,0.47034767270088196,0.2827146649360657,0.4172297418117523,0.5878928899765015,0.369024395942688,-0.07992187887430191,0.9974598288536072,0.5682919025421143,0.327485591173172,0.08006473630666733,0.9906198978424072,0.7073119282722473,0.39682722091674805,0.1062578335404396,0.9521231651306152,0.6870435476303101,0.379644513130188,0.23703508079051971,0.4764375686645508,0.8196631669998169,0.3716221749782562,0.26088881492614746,0.972618043422699,0.7966879606246948,0.357954740524292,0.4101532995700836,0.6819849014282227,0.8472920656204224,0.3433697521686554,0.27504855394363403,0.9617980718612671,0.8215998411178589,0.3369121849536896,0.42710819840431213,0.7119441032409668,0.8196806907653809,0.4660464823246002,0.23722834885120392,0.948681116104126,0.7996180653572083,0.44424816966056824,0.4143501818180084,0.8229451775550842
up,0.25417131185531616,0.28236880898475647,-0.2570788562297821,0.9994631409645081,0.24936580657958984,0.25715258717536926,-0.2811011075973511,0.9994346499443054,0.251339316368103,0.255018413066864,-0.2811514735221863,0.9994591474533081,0.25348490476608276,0.2526543438434601,-0.28122907876968384,0.9995371699333191,0.24766263365745544,0.2551652193069458,-0.2448318898677826,0.9991130232810974,0.24847695231437683,0.2519366443157196,-0.24489037692546844,0.9992696642875671,0.24938547611236572,0.24839235842227936,-0.24489891529083252,0.9995402097702026,0.2716982364654541,0.2312173992395401,-0.32051342725753784,0.99896240234375,0.26728343963623047,0.2264159470796585,-0.15925143659114838,0.9995366930961609,0.2707051634788513,0.29180237650871277,-0.26517578959465027,0.9993748068809509,0.2689031958580017,0.29019051790237427,-0.2186357080936432,0.9992521405220032,0.37661126255989075,0.27778762578964233,-0.34741702675819397,0.9994809031486511,0.33827564120292664,0.23278546333312988,-0.017897697165608406,0.9988237619400024,0.43107908964157104,0.46073511242866516,-0.36383867263793945,0.9798891544342041,0.37148210406303406,0.3894200921058655,0.13193325698375702,0.20001216232776642,0.433593213558197,0.6615691781044006,-0.3701306879520416,0.9607351422309875,0.3517204821109772,0.5177348852157593,0.1845005303621292,0.4615428149700165,0.4152153432369232,0.6932692527770996,-0.4178697168827057,0.9438074231147766,0.32153624296188354,0.5219590663909912,0.18844611942768097,0.5174504518508911,0.40410345792770386,0.6775916218757629,-0.41162386536598206,0.946547269821167,0.32424649596214294,0.5276710391044617,0.15177586674690247,0.5308157801628113,0.4111202359199524,0.6670528650283813,-0.36918818950653076,0.9259682297706604,0.3364766240119934,0.5302927494049072,0.17038151621818542,0.5194354057312012,0.5619723796844482,0.3405984938144684,-0.0915532112121582,0.9981417059898376,0.5393644571304321,0.33361390233039856,0.09138469398021698,0.9931140542030334,0.6750909686088562,0.4170316159725189,0.11516199260950089,0.9623618125915527,0.6467205882072449,0.4121279716491699,0.2929939031600952,0.4951635003089905,0.7839677333831787,0.4045640826225281,0.3178844153881073,0.97828209400177,0.7550430297851562,0.39996105432510376,0.5091020464897156,0.6885873079299927,0.8073399662971497,0.3847064673900604,0.3370695114135742,0.9630516171455383,0.7788367867469788,0.38346514105796814,0.5317879915237427,0.7031221985816956,0.7925917506217957,0.4936050772666931,0.284900426864624,0.9580466151237488,0.7738201022148132,0.4847038686275482,0.515274167060852,0.8436359167098999
down,0.24582970142364502,0.6050950288772583,-0.19884160161018372,0.9993963837623596,0.24161484837532043,0.5860595703125,-0.22565492987632751,0.9994058012962341,0.24329312145709991,0.5837781429290771,-0.2256912738084793,0.9994029998779297,0.2451459914445877,0.581233561038971,-0.22577711939811707,0.9994989633560181,0.23973676562309265,0.584463357925415,-0.19530744850635529,0.999071478843689,0.2401599884033203,0.5811041593551636,-0.19537416100502014,0.9992071390151978,0.24073059856891632,0.5771967768669128,-0.1954193264245987,0.9994758367538452,0.26246336102485657,0.556429922580719,-0.2754860818386078,0.9989773631095886,0.2578461170196533,0.5482774376869202,-0.14395134150981903,0.9994840025901794,0.2610836923122406,0.606927216053009,-0.2108301818370819,0.9993507862091064,0.25890928506851196,0.6055495738983154,-0.17224405705928802,0.9991699457168579,0.35875174403190613,0.5456929802894592,-0.2764603793621063,0.9994286298751831,0.3219623267650604,0.4516087770462036,-0.0413760170340538,0.9985984563827515,0.4601248800754547,0.5184028148651123,-0.24255099892616272,0.9677539467811584,0.38733452558517456,0.4276027977466583,0.16068655252456665,0.17227768898010254,0.4323004186153412,0.6888564825057983,-0.18526366353034973,0.9413600564002991,0.36251670122146606,0.5303940176963806,0.33615416288375854,0.41370970010757446,0.41259947419166565,0.7199068665504456,-0.20361296832561493,0.924321711063385,0.33389735221862793,0.5341967940330505,0.35029977560043335,0.4831269085407257,0.40092283487319946,0.7024096846580505,-0.20455265045166016,0.9286310076713562,0.33264169096946716,0.5403068661689758,0.3322746157646179,0.4948253035545349,0.4055565297603607,0.6922214031219482,-0.1841547191143036,0.9046408534049988,0.3453557789325714,0.545654296875,0.3324345052242279,0.4805607795715332,0.5468841195106506,0.5025208592414856,-0.08301051706075668,0.9976605176925659,0.5268350839614868,0.4600915312767029,0.0829738900065422,0.9910670518875122,0.6638106107711792,0.5018337368965149,0.1052185446023941,0.952981173992157,0.6384176015853882,0.4702431559562683,0.24760881066322327,0.5062171220779419,0.7763895392417908,0.4313986897468567,0.2615485191345215,0.9735245108604431,0.7488303780555725,0.4255649149417877,0.42340344190597534,0.6830337643623352,0.8041095733642578,0.39947959780693054,0.27709001302719116,0.9585211873054504,0.7728509306907654,0.3924994468688965,0.4408442974090576,0.6993458271026611,0.7818833589553833,0.5218672752380371,0.2424199879169464,0.9522371292114258,0.7551218271255493,0.4944353699684143,0.44317078590393066,0.823704183101654
up,0.24258747696876526,0.30173978209495544,-0.2193395346403122,0.9993240833282471,0.2383790761232376,0.276555597782135,-0.24534380435943604,0.9992808103561401,0.24025020003318787,0.273666650056839,-0.24539366364479065,0.9993098974227905,0.24217525124549866,0.27026864886283875,-0.24545781314373016,0.9994054436683655,0.23627206683158875,0.27606457471847534,-0.2093353569507599,0.9988971948623657,0.23672930896282196,0.27318233251571655,-0.20939405262470245,0.9990885853767395,0.2373960316181183,0.2697092592716217,-0.20941980183124542,0.999422013759613,0.25940877199172974,0.24726437032222748,-0.29270270466804504,0.9987173676490784,0.2550455927848816,0.24584369361400604,-0.13371458649635315,0.9994411468505859,0.2587806284427643,0.30713704228401184,-0.23014363646507263,0.9992458820343018,0.2565787434577942,0.30606457591056824,-0.18386414647102356,0.9990888833999634,0.35861366987228394,0.29377856850624084,-0.32688114047050476,0.999447762966156,0.3261978328227997,0.25543832778930664,0.00015070597874000669,0.9987753629684448,0.40894073247909546,0.49901077151298523,-0.3388870060443878,0.9755708575248718,0.3566185534000397,0.4255402088165283,0.13709411025047302,0.20462815463542938,0.4222913682460785,0.6997913718223572,-0.33224329352378845,0.9572048187255859,0.33750206232070923,0.5547895431518555,0.17602121829986572,0.4463701546192169,0.4048151969909668,0.7278673648834229,-0.37749040126800537,0.9414145350456238,0.31091198325157166,0.5596431493759155,0.17982864379882812,0.49732816219329834,0.39555975794792175,0.7116217017173767,-0.3709220290184021,0.9439014196395874,0.31409141421318054,0.5650743842124939,0.14356908202171326,0.5082959532737732,0.40130192041397095,0.7019611597061157,-0.330923855304718,0.9221331477165222,0.3250238597393036,0.5667106509208679,0.16155989468097687,0.4969080686569214,0.5482803583145142,0.371124267578125,-0.08945640921592712,0.9979840517044067,0.529728353023529,0.3600345551967621,0.0893164575099945,0.992872953414917,0.6640980243682861,0.44750040769577026,0.09847795963287354,0.9557900428771973,0.6381954550743103,0.44399815797805786,0.26972371339797974,0.509483814239502,0.7763431668281555,0.4322523772716522,0.2857687473297119,0.9739189147949219,0.7479093670845032,0.4272812306880951,0.46376484632492065,0.683314859867096,0.8038832545280457,0.41381192207336426,0.3032626509666443,0.9613532423973083,0.7722601294517517,0.4091253876686096,0.4840163290500641,0.7116460204124451,0.7822548747062683,0.5255956649780273,0.25340086221694946,0.9519754648208618,0.763218104839325,0.5106996893882751,0.47231775522232056,0.8327218890190125
down,0.24020937085151672,0.6183109879493713,-0.21451330184936523,0.9991205334663391,0.23459458351135254,0.5920683741569519,-0.24403753876686096,0.9991707801818848,0.23633554577827454,0.5888643860816956,-0.24405547976493835,0.9991136193275452,0.23823420703411102,0.585292637348175,-0.2441120594739914,0.9992945790290833,0.23249702155590057,0.5908835530281067,-0.21311137080192566,0.9988002777099609,0.23278383910655975,0.587091326713562,-0.2131737768650055,0.9989214539527893,0.23316295444965363,0.5829656720161438,-0.21319496631622314,0.999324381351471,0.25478440523147583,0.5590224266052246,-0.29681313037872314,0.9985805153846741,0.2488526850938797,0.5562997460365295,-0.16174688935279846,0.9993262887001038,0.25469934940338135,0.6202471256256104,-0.22624020278453827,0.9991199374198914,0.25260046124458313,0.6186800599098206,-0.18688228726387024,0.9988584518432617,0.3439701497554779,0.5502142906188965,-0.29188135266304016,0.9993873238563538,0.3065658211708069,0.46893563866615295,-0.0504356324672699,0.9983276128768921,0.4484242796897888,0.5422587990760803,-0.25081053376197815,0.9611840844154358,0.3782820403575897,0.44159960746765137,0.16541656851768494,0.16390901803970337,0.42275023460388184,0.7194669246673584,-0.2059003859758377,0.9372192621231079,0.35500985383987427,0.5518313646316528,0.30821728706359863,0.3638247847557068,0.4016651511192322,0.7449853420257568,-0.22922568023204803,0.920136570930481,0.34130144119262695,0.5639534592628479,0.3185211420059204,0.4281720519065857,0.39038020372390747,0.7321186661720276,-0.22342392802238464,0.9238764047622681,0.3338659405708313,0.5746540427207947,0.2962566316127777,0.43638816475868225,0.39570382237434387,0.7227268815040588,-0.2029789388179779,0.8982576131820679,0.3423590064048767,0.5791029334068298,0.3021894097328186,0.4234344959259033,0.5357547998428345,0.5192438364028931,-0.07974515110254288,0.9973067045211792,0.514536440372467,0.4754749834537506,0.07977808266878128,0.9895193576812744,0.6580823659896851,0.5253280997276306,0.11067541688680649,0.9413111209869385,0.6329678893089294,0.47688862681388855,0.2390911877155304,0.48645132780075073,0.769417405128479,0.45669010281562805,0.27037543058395386,0.9652068018913269,0.7434572577476501,0.4497278034687042,0.42052263021469116,0.6530182957649231,0.797087550163269,0.4205223619937897,0.2855880856513977,0.9501445889472961,0.767288088798523,0.4155122935771942,0.4379059374332428,0.6875413656234741,0.776430070400238,0.5487515926361084,0.24233806133270264,0.9406967759132385,0.749950647354126,0.5225645899772644,0.42962217330932617,0.7994423508644104
up,0.2242601364850998,0.35251399874687195,-0.21261611580848694,0.9993184804916382,0.22008982300758362,0.3269922435283661,-0.23772592842578888,0.9992853999137878,0.22171780467033386,0.3244200050830841,-0.23776578903198242,0.9993101358413696,0.22342440485954285,0.3215799033641815,-0.23780187964439392,0.9994151592254639,0.21837258338928223,0.3255589008331299,-0.20166854560375214,0.9988791942596436,0.21892285346984863,0.322035551071167,-0.2017304003238678,0.9990648031234741,0.2196374237537384,0.3181333541870117,-0.20174984633922577,0.9994078874588013,0.24088028073310852,0.2990090548992157,-0.28742021322250366,0.9987124800682068,0.23688864707946777,0.29599443078041077,-0.13028500974178314,0.9994171261787415,0.24022646248340607,0.3592891991138458,-0.2250867635011673,0.9992649555206299,0.23780126869678497,0.357573539018631,-0.17875955998897552,0.9990719556808472,0.34546738862991333,0.3431408703327179,-0.3346098065376282,0.9995035529136658,0.30981582403182983,0.2963689863681793,0.0010768463835120201,0.9987996220588684,0.405679851770401,0.5293470621109009,-0.3373628258705139,0.9773720502853394,0.3445204496383667,0.4575967490673065,0.1458013355731964,0.2246818095445633,0.4132459759712219,0.7338094115257263,-0.3251728415489197,0.9657458662986755,0.33206015825271606,0.5866671204566956,0.20484670996665955,0.47461196780204773,0.39411836862564087,0.7642988562583923,-0.36669206619262695,0.9520301818847656,0.30675238370895386,0.5942533016204834,0.20990213751792908,0.5177587270736694,0.38485026359558105,0.7488526105880737,-0.3607790470123291,0.9540576338768005,0.3081045150756836,0.5997743606567383,0.17592407763004303,0.5306286811828613,0.39080333709716797,0.7387856245040894,-0.32345014810562134,0.93442302942276,0.3193502426147461,0.6001204252243042,0.19153663516044617,0.5218532681465149,0.5358875393867493,0.404479444026947,-0.09230874478816986,0.9982197880744934,0.514623761177063,0.3841462731361389,0.09222295880317688,0.9933364987373352,0.6505986452102661,0.4836827218532562,0.10060082376003265,0.9586558938026428,0.6193958520889282,0.4746793508529663,0.274127721786499,0.5191231369972229,0.7645672559738159,0.46166256070137024,0.29083460569381714,0.9761987924575806,0.7372263669967651,0.4534109830856323,0.46448594331741333,0.6904022097587585,0.7906495928764343,0.44172707200050354,0.3093514144420624,0.9625355005264282,0.7606149911880493,0.43461769819259644,0.4840662479400635,0.7103651762008667,0.7740334868431091,0.5509727001190186,0.26377803087234497,0.9572219848632812,0.7517793774604797,0.5346243381500244,0.4722979664802551,0.8434418439865112
down,0.23153813183307648,0.663873553276062,-0.13794562220573425,0.9992297291755676,0.2246500551700592,0.644710898399353,-0.16508932411670685,0.9992535710334778,0.22595469653606415,0.6422291994094849,-0.16514627635478973,0.9992333650588989,0.22745800018310547,0.6396169662475586,-0.16522809863090515,0.9993642568588257,0.22300657629966736,0.6427088975906372,-0.13408929109573364,0.998898983001709,0.22320106625556946,0.6389651894569397,-0.13415013253688812,0.9990530610084534,0.22351188957691193,0.6347419619560242,-0.13422241806983948,0.9993873834609985,0.24303266406059265,0.6126301288604736,-0.2248629778623581,0.9987072348594666,0.23919519782066345,0.604390561580658,-0.08903490751981735,0.9994150996208191,0.24624161422252655,0.6642221808433533,-0.15361887216567993,0.9992324113845825,0.24441874027252197,0.6620298624038696,-0.11386136710643768,0.9989898800849915,0.3388693928718567,0.5921783447265625,-0.24087119102478027,0.9994246363639832,0.30862951278686523,0.5013968348503113,0.005914045963436365,0.9984846711158752,0.4519630968570709,0.5616506338119507,-0.25242331624031067,0.966316819190979,0.3818620443344116,0.46564432978630066,0.1977207362651825,0.17392562329769135,0.41874805092811584,0.7423379421234131,-0.2505221366882324,0.9518852829933167,0.3514006733894348,0.581864058971405,0.36348533630371094,0.40272271633148193,0.3982333540916443,0.7742362022399902,-0.2681505084037781,0.9376876354217529,0.32216763496398926,0.5874541997909546,0.3803199529647827,0.4661560654640198,0.38633492588996887,0.7564486861228943,-0.2587512135505676,0.9407246112823486,0.32274264097213745,0.5941270589828491,0.3644424080848694,0.476144939661026,0.3915272653102875,0.7464118003845215,-0.24669039249420166,0.917899489402771,0.33632224798202515,0.5973623991012573,0.36036425828933716,0.4626617431640625,0.5363410115242004,0.5503109693527222,-0.08474719524383545,0.9975341558456421,0.5181092023849487,0.5108194351196289,0.08475403487682343,0.9904002547264099,0.6583346128463745,0.5499156713485718,0.0882573276758194,0.9438698291778564,0.6376243233680725,0.5077400207519531,0.22424602508544922,0.505147397518158,0.770589292049408,0.4736698567867279,0.22905592620372772,0.9684383273124695,0.7459356784820557,0.47101449966430664,0.3803235590457916,0.660464882850647,0.7980623841285706,0.43731802701950073,0.2429090440273285,0.9552492499351501,0.7695993185043335,0.43779051303863525,0.39507007598876953,0.6930176615715027,0.7788379788398743,0.568243682384491,0.20422017574310303,0.9470148086547852,0.7558053731918335,0.5480641722679138,0.38794422149658203,0.8112854361534119
up,0.23392125964164734,0.40743735432624817,-0.2023622989654541,0.999271810054779,0.2294880598783493,0.3751339912414551,-0.2276250123977661,0.9992709755897522,0.23087921738624573,0.3714383840560913,-0.2276848554611206,0.9992839097976685,0.2326468974351883,0.3673975169658661,-0.2277558147907257,0.9993881583213806,0.22768795490264893,0.37382930517196655,-0.19246438145637512,0.998866081237793,0.22792723774909973,0.3697114586830139,-0.19252358376979828,0.999062716960907,0.22836299240589142,0.36508700251579285,-0.19257041811943054,0.9994052052497864,0.2502919137477875,0.34453922510147095,-0.2746362090110779,0.998640775680542,0.24525177478790283,0.3411831259727478,-0.11622868478298187,0.9994346499443054,0.24995997548103333,0.4104963541030884,-0.21327348053455353,0.9992283582687378,0.24743692576885223,0.4102582633495331,-0.16794182360172272,0.9990299344062805,0.35713717341423035,0.37162432074546814,-0.2978367209434509,0.999346137046814,0.3194359838962555,0.3384571373462677,-0.005483342334628105,0.9983592629432678,0.42605605721473694,0.5594459176063538,-0.31083422899246216,0.9719521403312683,0.3468470871448517,0.47058936953544617,0.12692728638648987,0.15376785397529602,0.419332891702652,0.7523155212402344,-0.3032354712486267,0.9590033292770386,0.3343926966190338,0.6020844578742981,0.17052128911018372,0.37710267305374146,0.40150952339172363,0.7832319736480713,-0.3475648760795593,0.9437378644943237,0.30277156829833984,0.6035319566726685,0.17395612597465515,0.4425596594810486,0.3888234496116638,0.7647966146469116,-0.33737072348594666,0.9461246132850647,0.30626916885375977,0.6096922755241394,0.13714085519313812,0.453190416097641,0.3948606848716736,0.7552682757377625,-0.3008851408958435,0.9246776103973389,0.31950923800468445,0.6120667457580566,0.15642106533050537,0.44254744052886963,0.5454190969467163,0.4264581799507141,-0.08265770971775055,0.9977431297302246,0.5232039093971252,0.42061614990234375,0.08256176859140396,0.9913092851638794,0.6648887395858765,0.5021155476570129,0.09376805275678635,0.9492748975753784,0.6383206248283386,0.5014941096305847,0.250497967004776,0.4902955889701843,0.7719607949256897,0.4782770872116089,0.2564387023448944,0.9697054028511047,0.7407649755477905,0.4768960177898407,0.4348030686378479,0.661712646484375,0.7984615564346313,0.4551284909248352,0.2721693813800812,0.9582899808883667,0.7651142477989197,0.4558587074279785,0.4550319314002991,0.6914781928062439,0.7829662561416626,0.5711709856987,0.22216689586639404,0.9465800523757935,0.7600384950637817,0.5587102770805359,0.44146499037742615,0.8161489963531494
